Bars,Price,Promotion,ShelfLocation,Dispensers
4141,59,200,EndAisle,Yes
3842,59,200,EndAisle,Yes
3056,59,200,Normal,No
3519,59,200,Normal,Yes
4226,59,400,EndAisle,No
4630,59,400,Normal,Yes
3507,59,400,Normal,Yes
3754,59,400,EndAisle,Yes
5000,59,600,EndAisle,No
5120,59,600,EndAisle,No
4011,59,600,Normal,Yes
5015,59,600,Normal,No
1916,79,200,Normal,No
675,79,200,Normal,No
3636,79,200,EndAisle,No
3224,79,200,EndAisle,Yes
2295,79,400,Normal,No
2730,79,400,Normal,Yes
2618,79,400,Normal,No
4421,79,400,EndAisle,Yes
4113,79,600,EndAisle,Yes
3746,79,600,Normal,No
3532,79,600,Normal,No
3825,79,600,Normal,No
1096,99,200,Normal,Yes
761,99,200,Normal,Yes
2088,99,200,EndAisle,Yes
820,99,200,Normal,Yes
2114,99,400,EndAisle,Yes
1882,99,400,Normal,No
2159,99,400,EndAisle,No
1602,99,400,Normal,Yes
3354,99,600,EndAisle,No
2927,99,600,EndAisle,No
